student_id,ssc_percentage,hsc_percentage,degree_percentage,cgpa,aptitude_test_score,technical_skill_score,soft_skills_rating,attendance_percentage,backlogs,internships,projects,certifications,work_experience_months,gender,placement_training,extracurricular_activities,placement_status,department
1,67.0,77.9,74.6,6.79,72,46,3.3,92.4,0,1,2,0,5,Male,Yes,Yes,NotPlaced,ChemE
2,46.0,45.0,49.6,5.92,50,49,4.1,65.1,4,0,0,1,0,Female,No,No,NotPlaced,ME
3,73.5,67.0,75.7,7.43,68,43,4.7,91.9,0,2,0,3,8,Male,No,No,NotPlaced,IT
4,72.8,60.9,63.3,7.09,87,89,3.6,68.3,0,2,2,2,17,Male,Yes,No,NotPlaced,CE
5,57.8,95.2,62.5,7.13,64,56,4.7,85.3,0,0,0,3,3,Male,No,Yes,Placed,ME
6,60.1,59.4,56.4,7.29,60,60,3.7,84.6,0,1,2,0,8,Male,Yes,No,Placed,ChemE
7,69.5,53.3,68.4,6.74,57,67,3.5,76.4,1,1,0,1,8,Male,Yes,No,NotPlaced,ECE
8,74.0,50.6,67.9,8.0,93,69,4.9,87.1,0,1,3,1,6,Male,No,No,Placed,CS
9,64.0,56.2,62.8,6.62,72,58,3.4,84.8,0,0,2,0,6,Male,Yes,Yes,Placed,ME
10,74.7,69.0,72.6,7.03,58,49,3.2,77.4,1,0,2,4,0,Male,No,No,Placed,ECE
11,66.6,84.3,76.1,8.41,67,72,3.7,79.9,0,1,0,2,9,Female,No,No,Placed,CS
12,67.7,61.5,62.9,6.97,68,72,3.5,83.4,0,1,1,3,5,Male,Yes,Yes,Placed,IT
13,80.5,84.4,82.2,7.27,75,73,3.8,88.7,0,2,2,0,8,Female,Yes,Yes,Placed,CE
14,54.5,55.6,53.9,5.67,55,57,2.6,73.6,1,1,0,0,12,Male,Yes,No,NotPlaced,ME
15,71.2,62.7,65.3,7.18,59,91,3.1,85.4,0,2,2,1,17,Male,No,Yes,NotPlaced,CS
16,49.0,55.5,49.8,6.69,45,52,3.4,80.8,0,0,0,2,3,Female,No,No,NotPlaced,ECE
17,70.9,86.7,68.3,7.98,88,89,3.2,82.4,1,2,1,2,15,Male,Yes,Yes,Placed,ChemE
18,65.1,77.1,76.5,7.67,80,69,2.8,76.1,0,1,3,0,10,Male,Yes,No,Placed,ME
19,48.5,52.0,52.6,6.17,56,70,3.5,75.7,0,0,5,1,0,Male,No,Yes,NotPlaced,CS
20,64.2,68.6,63.9,7.12,73,70,3.6,73.4,0,3,3,2,18,Male,Yes,No,Placed,ECE
21,78.2,76.4,80.1,6.96,77,58,2.7,80.0,0,1,2,3,11,Female,No,No,NotPlaced,EE
22,60.5,56.9,61.6,5.48,77,66,3.4,78.9,2,1,5,0,6,Female,Yes,Yes,NotPlaced,ChemE
23,83.6,81.5,73.2,7.8,72,64,4.3,89.5,0,0,4,3,0,Female,No,Yes,Placed,EE
24,64.8,47.0,58.7,7.32,58,63,2.7,71.2,1,0,0,1,6,Female,No,Yes,NotPlaced,ME
25,45.0,60.1,56.3,6.57,50,48,3.1,73.2,0,1,0,0,10,Male,No,Yes,NotPlaced,ECE
26,70.6,72.0,60.6,7.13,77,82,3.2,89.4,0,1,1,1,8,Male,Yes,Yes,Placed,ME
27,55.6,49.2,67.4,7.02,48,58,2.1,72.8,2,0,3,1,1,Female,Yes,No,NotPlaced,ChemE
28,78.9,64.6,72.8,7.94,68,64,4.6,89.6,0,2,2,0,16,Female,Yes,Yes,Placed,ChemE
29,49.5,71.7,58.8,6.64,57,35,2.8,77.6,1,0,0,0,3,Female,No,No,NotPlaced,ECE
30,71.0,80.5,68.9,7.48,81,60,5.0,86.1,0,1,0,1,7,Male,No,Yes,Placed,ECE
31,68.0,70.8,55.1,6.56,55,56,3.2,86.6,1,0,3,1,3,Male,Yes,Yes,NotPlaced,ECE
32,82.2,70.9,76.4,9.68,76,74,4.7,81.7,0,1,0,1,6,Male,No,No,Placed,IT
33,64.1,65.0,71.9,6.68,63,47,3.0,69.7,1,0,1,1,3,Male,No,No,NotPlaced,ME
34,76.0,77.3,73.5,7.93,68,59,2.5,68.1,1,1,3,3,5,Male,No,Yes,Placed,ME
35,70.1,58.2,65.9,8.32,68,73,5.0,100.0,0,1,0,8,8,Male,Yes,No,Placed,ChemE
36,72.3,74.0,70.7,7.9,83,47,2.0,85.9,1,0,1,3,0,Male,No,No,NotPlaced,IT
37,69.1,62.9,54.4,5.9,63,59,2.3,76.8,2,0,0,0,3,Female,Yes,No,NotPlaced,CE
38,74.3,84.5,92.0,8.95,88,76,3.5,82.8,0,3,4,1,14,Male,Yes,No,Placed,ME
39,52.7,49.6,62.9,6.02,57,43,3.6,81.9,0,0,1,1,0,Male,No,No,NotPlaced,CS
40,60.6,80.2,75.5,6.21,72,83,3.3,71.3,1,1,3,4,12,Male,No,Yes,Placed,CS
41,68.0,61.1,63.5,6.31,51,44,4.3,72.0,0,0,1,0,6,Female,No,No,NotPlaced,ME
42,75.7,90.2,74.3,7.71,67,57,5.0,86.3,0,0,1,1,2,Female,Yes,Yes,Placed,CS
43,60.6,73.6,65.9,6.97,60,66,3.1,82.5,1,0,3,2,3,Male,Yes,Yes,NotPlaced,ECE
44,73.5,67.2,62.9,6.9,53,50,2.2,71.2,0,0,0,0,0,Male,Yes,No,Placed,ME
45,83.3,73.6,93.8,8.96,77,66,4.5,79.7,0,1,5,1,7,Female,Yes,No,Placed,ECE
46,76.0,70.1,78.2,8.96,87,79,2.8,86.6,0,1,7,1,10,Male,Yes,No,Placed,ECE
47,80.8,85.6,68.8,8.23,70,85,3.4,72.9,0,1,1,1,8,Male,No,Yes,Placed,ECE
48,57.1,63.9,55.7,6.82,74,89,4.8,83.8,1,0,5,0,4,Female,No,No,Placed,ECE
49,56.1,63.4,67.3,6.89,77,84,2.5,64.7,3,1,8,2,10,Female,No,No,NotPlaced,EE
50,83.1,71.4,55.5,6.96,78,75,3.9,85.6,0,1,1,0,6,Male,Yes,No,NotPlaced,IT
51,67.3,73.8,72.9,6.53,79,77,4.0,82.5,0,1,4,2,3,Male,Yes,Yes,Placed,EE
52,76.2,45.0,48.0,5.89,52,43,3.4,62.3,1,0,1,0,0,Female,No,Yes,NotPlaced,ME
53,60.3,57.5,68.0,6.53,55,66,4.3,71.1,0,1,3,0,5,Male,No,Yes,NotPlaced,ECE
54,56.2,74.2,59.3,7.97,59,63,3.1,86.7,0,2,2,2,11,Female,Yes,No,NotPlaced,CE
55,88.0,79.8,68.5,7.96,75,96,3.3,83.2,0,2,1,1,9,Male,Yes,Yes,Placed,CS
56,68.5,64.1,56.1,6.37,56,75,3.2,60.4,0,2,1,1,8,Male,No,Yes,Placed,IT
57,73.4,82.6,78.1,7.13,73,76,4.7,100.0,0,1,3,2,5,Male,Yes,No,Placed,ME
58,66.6,69.8,60.6,6.76,51,61,2.6,76.4,0,1,3,0,12,Female,No,No,NotPlaced,CE
59,63.3,65.7,82.2,7.1,81,75,2.5,75.2,0,0,4,1,5,Male,Yes,No,NotPlaced,IT
