feature,importance
numerical__backlogs,262.5588684082031
numerical__technical_skill_score,155.1399383544922
numerical__cgpa,134.4094696044922
numerical__soft_skill_score,92.41691589355469
numerical__ssc_percentage,3.890653610229492
numerical__certifications,3.7177746295928955
numerical__hsc_percentage,2.6960742473602295
numerical__work_experience_months,2.529618978500366
numerical__entrance_exam_score,2.2018895149230957
numerical__degree_percentage,1.7954154014587402
numerical__attendance_percentage,1.4983234405517578
numerical__internship_count,1.3239696025848389
numerical__live_projects,0.6699762344360352
