feature,importance
numerical__cgpa,68.0
numerical__soft_skill_score,51.0
numerical__backlogs,45.0
numerical__technical_skill_score,43.0
numerical__hsc_percentage,16.0
numerical__work_experience_months,14.0
numerical__attendance_percentage,13.0
numerical__entrance_exam_score,11.0
numerical__degree_percentage,11.0
numerical__ssc_percentage,11.0
numerical__certifications,10.0
numerical__live_projects,8.0
numerical__internship_count,6.0
categorical__extracurricular_activities_No,2.0
categorical__gender_Female,1.0
